0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2013,2014,2015,2016,2017,2018,2019,2020,2021,2013,2014,2015,2016,2017,2018,2019,2020,2021,2013,2014,2015,2016,2017,2018,2019,2020,2021;
Ukraine,1548733,1516768,1772016,2051331,2652082,3248730,3744060,4045191,4863519,1215457,1151656,1362599,1582293,2008278,2470325,2905821,3117891,3725498,1432467,1485988,1740943,2038740,2621444,3217183,3756517,3981271,4855869,26719,26782,31803,37080,47270,58442,69140,74688,90036;
Autonomous Republic of Crimea,57324,0,0,0,0,0,0,0,0,44816,0,0,0,0,0,0,0,0,53692,0,0,0,0,0,0,0,0,22793,0,0,0,0,0,0,0,0;
Vinnytsya,46157,49418,60923,71888,94417,114480,129061,138552,164892,37323,37812,47609,55761,71930,87397,101720,109054,131077,41067,48855,59478,71565,85875,104683,126650,134057,147486,23001,23422,29637,34931,45436,55734,65503,70939,86274;
Volyn,26907,27986,34064,40792,53204,63810,72185,77720,93685,20609,20985,26049,31267,40043,47822,55793,59677,71769,27002,31909,40405,45749,53782,65365,74044,78763,94536,19805,20137,24980,30013,38514,46120,53990,57973,70061;
Dnipropetrovsk,124594,136810,166076,188816,245778,307844,360385,384511,452155,99995,105223,127830,143861,185230,240620,284178,299515,352743,109127,127486,154424,179697,225791,271658,332979,349918,438827,30301,32036,39142,44366,57333,74755,89042,94804,113085;
Donetsk,166366,142745,117471,117735,141340,174771,199322,210207,244546,135362,113343,91388,89036,106733,141559,165303,173775,200797,139958,108762,74873,85268,102741,116696,140509,150167,174219,31049,26234,21346,20927,25278,33840,39843,42219,49217;
Zhytomyr,34947,36814,45053,53684,70126,84830,97301,102465,121614,27405,27831,34799,41026,52753,64613,75974,80108,94183,31826,37002,45869,54892,71365,86724,97423,100534,118550,21652,22102,27801,32979,42684,52715,62571,66651,79328;
Zakarpattya,29102,29988,37182,44137,56568,69194,78182,84270,97918,22512,21840,28282,33812,42652,52083,60069,65579,75319,27141,32057,39856,47061,61882,75368,85945,90112,106995,17929,17358,22457,26856,33891,41418,47852,52379,60386;
Zaporizhzhya,62671,68327,81737,96695,122759,147627,169384,178172,209254,50545,53449,63841,75910,93942,111553,129046,139710,161818,56055,64637,77780,92181,115968,142289,162883,166959,207710,28388,30182,36277,43462,54261,65065,76062,83309,97924;
Ivano-Frankivsk,37310,37848,47152,56418,73474,87479,98587,106202,125265,29003,28139,36689,43807,55947,67015,77464,83361,97589,36009,42692,51418,60988,69627,83876,98120,106157,122676,20988,20357,26540,31719,40580,48724,56514,61088,71944;
Kyiv,58894,63342,76150,90505,117755,150606,173511,186594,230917,47216,49133,58767,69552,88379,115569,135274,143273,176978,56520,66904,87615,100922,147551,179874,229758,240221,311613,27391,28443,33956,40127,50664,65623,76232,80274,98771;
Kirovohrad,27695,28901,35350,41875,54514,63999,71713,76911,90666,21485,21605,26750,31746,40580,47900,54912,59775,69874,24702,28863,36240,44138,53232,65497,73683,77041,92715,21671,21954,27383,32745,42227,50373,58461,64510,76623;
