New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189501,17.6,-2.5
189601,17.2,-2.9
189701,19.3,-0.8
189801,20.8,0.7
189901,19.2,-0.9
190001,21.7,1.6
190101,20.0,-0.1
190201,17.9,-2.2
190301,20.2,0.1
190401,12.3,-7.8
190501,15.5,-4.6
190601,27.3,7.2
190701,19.6,-0.5
190801,19.8,-0.3
190901,22.7,2.6
191001,21.2,1.1
191101,22.2,2.1
191201,10.8,-9.3
191301,29.4,9.3
191401,19.7,-0.4
191501,22.0,1.9
191601,25.3,5.2
191701,19.2,-0.9
191801,9.4,-10.7
191901,25.0,4.9
192001,10.4,-9.7
192101,22.8,2.7
192201,16.3,-3.8
192301,17.4,-2.7
192401,21.4,1.3
192501,15.9,-4.2
192601,20.8,0.7
192701,18.6,-1.5
192801,22.2,2.1
192901,19.4,-0.7
193001,21.4,1.3
193101,20.2,0.1
193201,31.9,11.8
193301,30.0,9.9
193401,22.2,2.1
193501,16.7,-3.4
193601,17.7,-2.4
193701,28.5,8.4
193801,19.1,-1.0
193901,20.3,0.2
194001,12.0,-8.1
194101,17.8,-2.3
194201,19.5,-0.6
194301,16.3,-3.8
194401,23.3,3.2
194501,11.6,-8.5
194601,21.4,1.3
194701,24.3,4.2
194801,13.8,-6.3
194901,26.4,6.3
195001,29.2,9.1
195101,23.5,3.4
195201,23.4,3.3
195301,26.2,6.1
195401,17.2,-2.9
195501,17.8,-2.3
195601,20.2,0.1
195701,14.5,-5.6
195801,20.2,0.1
195901,18.0,-2.1
196001,20.9,0.8
196101,13.9,-6.2
196201,19.1,-1.0
196301,17.1,-3.0
196401,22.6,2.5
196501,16.8,-3.3
196601,17.6,-2.5
196701,26.1,6.0
196801,14.1,-6.0
196901,19.6,-0.5
197001,10.8,-9.3
197101,14.4,-5.7
197201,22.0,1.9
197301,23.9,3.8
197401,22.5,2.4
197501,24.4,4.3
197601,13.8,-6.3
197701,11.0,-9.1
197801,16.9,-3.2
197901,19.0,-1.1
198001,21.6,1.5
198101,11.9,-8.2
198201,12.0,-8.1
198301,22.2,2.1
198401,16.7,-3.4
198501,16.1,-4.0
198601,21.2,1.1
198701,20.3,0.2
198801,19.2,-0.9
198901,25.6,5.5
199001,30.3,10.2
199101,21.0,0.9
199201,22.2,2.1
199301,24.3,4.2
199401,10.6,-9.5
199501,27.2,7.1
199601,18.9,-1.2
199701,20.0,-0.1
199801,27.5,7.4
199901,20.7,0.6
200001,19.2,-0.9
200101,22.4,2.3
200201,29.1,9.0
200301,14.6,-5.5
200401,12.8,-7.3
200501,18.6,-1.5
200601,30.1,10.0
200701,25.2,5.1
200801,25.9,5.8
200901,15.0,-5.1
201001,21.8,1.7
201101,18.6,-1.5
201201,26.0,5.9
201301,24.3,4.2
201401,16.9,-3.2
201501,16.2,-3.9
201601,23.7,3.6
201701,27.9,7.8
201801,19.1,-1.0
201901,19.4,-0.7
202001,27.7,7.6
202101,24.0,3.9
202201,15.8,-4.3
